Period	c1	Δc1,Marmara	Δc1,Coastal_Aegea	Δc1,Aegea	Δc1,East	c2	c3	c4	VC	V1	Sigma
-1	-0.783484429	0.107349915	-0.120847246	-0.07125074	-0.075295545	-0.039090416	-0.009	5	800	150	0.580791355
0	-0.530578356	-0.007327137	0.010506004	-0.018676187	0.09243069	-0.155383375	-0.0075	0.12	800	150	0.224500981
0.01	-0.529551999	-0.00697373	0.010894373	-0.017278734	0.092264202	-0.139256125	-0.0081	0.12	800	150	0.223294559
0.02	-0.52850734	-0.007062148	0.01084466	-0.015893701	0.091293929	-0.110299813	-0.0094	0.126	800	150	0.221783125
0.025	-0.525696333	-0.010663937	0.008053648	-0.018603899	0.086279985	-0.113105722	-0.0093	0.13	800	150	0.22084237
0.03	-0.521059101	-0.014518072	0.003909808	-0.022119546	0.079873004	-0.116336324	-0.0092	0.136	800	150	0.219338886
0.04	-0.520390684	-0.013935958	0.001407933	-0.017874983	0.077781415	-0.132643799	-0.0086	0.149	800	150	0.214043153
0.05	-0.513699477	-0.015247021	-3.81E-05	-0.012003928	0.075449997	-0.152052674	-0.0081	0.162	800	150	0.206941153
0.065	-0.511785497	-0.01695561	-0.002972972	-0.011239895	0.066658476	-0.192275374	-0.0072	0.183	800	150	0.203665977
0.08	-0.505852015	-0.017025938	0.002506936	-0.012655709	0.061009202	-0.208850593	-0.0068	0.203	800	150	0.195039175
0.1	-0.492531767	-0.021383959	0.005255684	-0.01423161	0.056458229	-0.231521325	-0.0065	0.226	800	150	0.194330932
0.13	-0.469087717	-0.021842415	0.008421019	-0.019417625	0.061770233	-0.245999414	-0.0062	0.252	800	150	0.191149965
0.16	-0.454942058	-0.01530821	0.011811422	-0.014153451	0.068364321	-0.244393702	-0.0062	0.26	800	150	0.187669006
0.2	-0.443892968	5.90E-05	0.018438027	-0.016085777	0.087737125	-0.217874244	-0.0064	0.244	800	150	0.189763627
0.25	-0.467098572	0.013239453	0.021329186	-0.016547495	0.106690518	-0.19496656	-0.0066	0.214	800	150	0.206230101
0.3	-0.509538678	0.02755423	0.03783348	-0.005901132	0.13781346	-0.186635247	-0.0068	0.188	800	150	0.223774708
0.4	-0.560021269	0.047270584	0.058004053	0.012945311	0.171803471	-0.160119548	-0.0074	0.15	800	150	0.238856132
0.5	-0.633723246	0.077969261	0.092034957	0.038788955	0.208666351	-0.127701435	-0.0082	0.125	800	150	0.261883993
0.65	-0.724058622	0.128727788	0.140591844	0.069375551	0.265467339	-0.109318979	-0.009	0.098	800	150	0.296734829
0.8	-0.791080937	0.137870038	0.13524337	0.059445503	0.272191625	-0.098044816	-0.0093	0.08	800	150	0.336380702
1	-0.838079192	0.121726231	0.110773523	0.029792847	0.255611794	-0.072611336	-0.009	0.064	800	150	0.372271243
1.3	-0.857698545	0.094211278	0.092785746	-0.008408695	0.239367519	-0.048039264	-0.008	0.046	800	150	0.401000861
1.6	-0.864236277	0.082440323	0.077169733	-0.034784054	0.235107209	-0.031945398	-0.0066	0.033	800	150	0.415089947
2	-0.837123531	0.06418491	0.05370217	-0.064104155	0.214007615	-0.019726455	-0.005	0.023	800	150	0.416080771
2.5	-0.797678957	0.04610348	0.036297445	-0.08261391	0.200892464	-0.01198084	-0.003	0.016	800	150	0.410681946
3	-0.734152268	0.031597991	0.011520051	-0.102740031	0.192645262	-0.007991071	-0.001	0.013	800	150	0.397000671
4	-0.679306501	0.03965051	-0.004383758	-0.099022163	0.205439137	6.43E-07	0	0.007	800	150	0.383329117
5	-0.587769263	0.033018996	-0.025465598	-0.10788854	0.204086949	8.23E-09	0	0.006	800	150	0.356375201
6.5	-0.521270599	0.016666016	-0.057540719	-0.121621754	0.183881624	7.48E-07	0	0.005	800	150	0.342657538
10	-0.370740581	0.022547536	-0.059941763	-0.089119679	0.172535094	-1.35E-06	0	0.004	800	150	0.287032774
